Question,Answer
Sam has 2 marbles and he loses 14 marbles - How many marbles does Sam have left?,sixteen
A baker has 9 muffins and bakes 14 more muffins - How many muffins does the baker have now?,twenty-three
A train travels 17 miles in the morning and 9 miles in the evening - What is the total distance traveled?,twenty-six
There are 8 pencils in one box and 13 pencils in another box - How many pencils are there altogether?,twenty-one
If 11 apples are added to 16 apples - how many apples are there in total?,twenty-seven
A train travels 4 miles in the morning and 13 miles in the evening - What is the total distance traveled?,seventeen
A baker has 4 muffins and bakes 4 more muffins - How many muffins does the baker have now?,eight
A store sells 19 candies and 12 candies are left - How many candies were sold in total?,thirty-one
If 9 apples are added to 3 apples - how many apples are there in total?,twelve
A train travels 11 miles in the morning and 8 miles in the evening - What is the total distance traveled?,nineteen
If 9 apples are added to 16 apples - how many apples are there in total?,twenty-five
There are 20 pencils in one box and 6 pencils in another box - How many pencils are there altogether?,twenty-six
A store sells 19 candies and 15 candies are left - How many candies were sold in total?,thirty-four
There are 7 pencils in one box and 15 pencils in another box - How many pencils are there altogether?,twenty-two
Sam has 18 marbles and he loses 10 marbles - How many marbles does Sam have left?,twenty-eight
If 11 apples are added to 15 apples - how many apples are there in total?,twenty-six
A store sells 14 candies and 10 candies are left - How many candies were sold in total?,twenty-four
There are 11 pencils in one box and 2 pencils in another box - How many pencils are there altogether?,thirteen
Sam has 4 marbles and he loses 13 marbles - How many marbles does Sam have left?,seventeen
Sam has 3 marbles and he loses 14 marbles - How many marbles does Sam have left?,seventeen
A train travels 2 miles in the morning and 14 miles in the evening - What is the total distance traveled?,sixteen
Sam has 3 marbles and he loses 6 marbles - How many marbles does Sam have left?,nine
Sam has 7 marbles and he loses 5 marbles - How many marbles does Sam have left?,twelve
If a shop sells 13 toys on Monday and 8 toys on Tuesday - how many toys were sold in total?,twenty-one
If a shop sells 6 toys on Monday and 12 toys on Tuesday - how many toys were sold in total?,eighteen
There are 5 pencils in one box and 4 pencils in another box - How many pencils are there altogether?,nine
A store sells 17 candies and 14 candies are left - How many candies were sold in total?,thirty-one
A train travels 9 miles in the morning and 17 miles in the evening - What is the total distance traveled?,twenty-six
Sam has 15 marbles and he loses 6 marbles - How many marbles does Sam have left?,twenty-one
If a shop sells 19 toys on Monday and 8 toys on Tuesday - how many toys were sold in total?,twenty-seven
A train travels 15 miles in the morning and 9 miles in the evening - What is the total distance traveled?,twenty-four
If 2 apples are added to 1 apples - how many apples are there in total?,three
A train travels 7 miles in the morning and 10 miles in the evening - What is the total distance traveled?,seventeen
A baker has 3 muffins and bakes 7 more muffins - How many muffins does the baker have now?,ten
A store sells 16 candies and 6 candies are left - How many candies were sold in total?,twenty-two
A baker has 7 muffins and bakes 9 more muffins - How many muffins does the baker have now?,sixteen
If a shop sells 14 toys on Monday and 12 toys on Tuesday - how many toys were sold in total?,twenty-six
If 6 apples are added to 20 apples - how many apples are there in total?,twenty-six
A baker has 4 muffins and bakes 14 more muffins - How many muffins does the baker have now?,eighteen
Sam has 5 marbles and he loses 15 marbles - How many marbles does Sam have left?,twenty
A train travels 6 miles in the morning and 12 miles in the evening - What is the total distance traveled?,eighteen
A train travels 12 miles in the morning and 18 miles in the evening - What is the total distance traveled?,thirty
A train travels 13 miles in the morning and 14 miles in the evening - What is the total distance traveled?,twenty-seven
A store sells 12 candies and 11 candies are left - How many candies were sold in total?,twenty-three
There are 4 pencils in one box and 13 pencils in another box - How many pencils are there altogether?,seventeen
A store sells 17 candies and 12 candies are left - How many candies were sold in total?,twenty-nine
Sam has 19 marbles and he loses 18 marbles - How many marbles does Sam have left?,thirty-seven
Sam has 3 marbles and he loses 17 marbles - How many marbles does Sam have left?,twenty
Sam has 17 marbles and he loses 13 marbles - How many marbles does Sam have left?,thirty
A store sells 5 candies and 9 candies are left - How many candies were sold in total?,fourteen
A train travels 5 miles in the morning and 7 miles in the evening - What is the total distance traveled?,twelve
There are 14 pencils in one box and 19 pencils in another box - How many pencils are there altogether?,thirty-three
A baker has 6 muffins and bakes 18 more muffins - How many muffins does the baker have now?,twenty-four
If 6 apples are added to 3 apples - how many apples are there in total?,nine
If a shop sells 5 toys on Monday and 2 toys on Tuesday - how many toys were sold in total?,seven
A baker has 15 muffins and bakes 5 more muffins - How many muffins does the baker have now?,twenty
If a shop sells 20 toys on Monday and 15 toys on Tuesday - how many toys were sold in total?,thirty-five
A train travels 12 miles in the morning and 13 miles in the evening - What is the total distance traveled?,twenty-five
A baker has 9 muffins and bakes 4 more muffins - How many muffins does the baker have now?,thirteen
A store sells 3 candies and 7 candies are left - How many candies were sold in total?,ten
There are 5 pencils in one box and 5 pencils in another box - How many pencils are there altogether?,ten
There are 1 pencils in one box and 20 pencils in another box - How many pencils are there altogether?,twenty-one
Sam has 8 marbles and he loses 6 marbles - How many marbles does Sam have left?,fourteen
Sam has 11 marbles and he loses 10 marbles - How many marbles does Sam have left?,twenty-one
There are 16 pencils in one box and 8 pencils in another box - How many pencils are there altogether?,twenty-four
Sam has 15 marbles and he loses 11 marbles - How many marbles does Sam have left?,twenty-six
A store sells 3 candies and 12 candies are left - How many candies were sold in total?,fifteen
A train travels 17 miles in the morning and 16 miles in the evening - What is the total distance traveled?,thirty-three
A train travels 15 miles in the morning and 14 miles in the evening - What is the total distance traveled?,twenty-nine
A train travels 20 miles in the morning and 4 miles in the evening - What is the total distance traveled?,twenty-four
There are 14 pencils in one box and 3 pencils in another box - How many pencils are there altogether?,seventeen
There are 18 pencils in one box and 1 pencils in another box - How many pencils are there altogether?,nineteen
If a shop sells 10 toys on Monday and 13 toys on Tuesday - how many toys were sold in total?,twenty-three
If a shop sells 2 toys on Monday and 16 toys on Tuesday - how many toys were sold in total?,eighteen
A baker has 5 muffins and bakes 1 more muffins - How many muffins does the baker have now?,six
A store sells 14 candies and 20 candies are left - How many candies were sold in total?,thirty-four
There are 9 pencils in one box and 19 pencils in another box - How many pencils are there altogether?,twenty-eight
A store sells 20 candies and 10 candies are left - How many candies were sold in total?,thirty
A store sells 5 candies and 5 candies are left - How many candies were sold in total?,ten
If a shop sells 11 toys on Monday and 1 toys on Tuesday - how many toys were sold in total?,twelve
Sam has 4 marbles and he loses 7 marbles - How many marbles does Sam have left?,eleven
A baker has 15 muffins and bakes 18 more muffins - How many muffins does the baker have now?,thirty-three
If a shop sells 11 toys on Monday and 9 toys on Tuesday - how many toys were sold in total?,twenty
Sam has 14 marbles and he loses 13 marbles - How many marbles does Sam have left?,twenty-seven
Sam has 2 marbles and he loses 10 marbles - How many marbles does Sam have left?,twelve
If a shop sells 8 toys on Monday and 18 toys on Tuesday - how many toys were sold in total?,twenty-six
Sam has 4 marbles and he loses 1 marbles - How many marbles does Sam have left?,five
If 2 apples are added to 14 apples - how many apples are there in total?,sixteen
There are 12 pencils in one box and 14 pencils in another box - How many pencils are there altogether?,twenty-six
If 11 apples are added to 20 apples - how many apples are there in total?,thirty-one
Sam has 17 marbles and he loses 9 marbles - How many marbles does Sam have left?,twenty-six
Sam has 11 marbles and he loses 7 marbles - How many marbles does Sam have left?,eighteen
A train travels 17 miles in the morning and 15 miles in the evening - What is the total distance traveled?,thirty-two
There are 20 pencils in one box and 17 pencils in another box - How many pencils are there altogether?,thirty-seven
If 2 apples are added to 5 apples - how many apples are there in total?,seven
A store sells 15 candies and 18 candies are left - How many candies were sold in total?,thirty-three
A train travels 12 miles in the morning and 15 miles in the evening - What is the total distance traveled?,twenty-seven
A store sells 8 candies and 8 candies are left - How many candies were sold in total?,sixteen
If a shop sells 7 toys on Monday and 8 toys on Tuesday - how many toys were sold in total?,fifteen
Sam has 13 marbles and he loses 15 marbles - How many marbles does Sam have left?,twenty-eight
If a shop sells 13 toys on Monday and 9 toys on Tuesday - how many toys were sold in total?,twenty-two
A baker has 9 muffins and bakes 10 more muffins - How many muffins does the baker have now?,nineteen
If a shop sells 4 toys on Monday and 3 toys on Tuesday - how many toys were sold in total?,seven
There are 19 pencils in one box and 8 pencils in another box - How many pencils are there altogether?,twenty-seven
If 16 apples are added to 2 apples - how many apples are there in total?,eighteen
A baker has 4 muffins and bakes 2 more muffins - How many muffins does the baker have now?,six
There are 7 pencils in one box and 8 pencils in another box - How many pencils are there altogether?,fifteen
If 4 apples are added to 16 apples - how many apples are there in total?,twenty
If a shop sells 4 toys on Monday and 12 toys on Tuesday - how many toys were sold in total?,sixteen
A store sells 17 candies and 6 candies are left - How many candies were sold in total?,twenty-three
A baker has 9 muffins and bakes 12 more muffins - How many muffins does the baker have now?,twenty-one
There are 12 pencils in one box and 17 pencils in another box - How many pencils are there altogether?,twenty-nine
Sam has 4 marbles and he loses 20 marbles - How many marbles does Sam have left?,twenty-four
A store sells 16 candies and 15 candies are left - How many candies were sold in total?,thirty-one
There are 5 pencils in one box and 15 pencils in another box - How many pencils are there altogether?,twenty
A baker has 9 muffins and bakes 20 more muffins - How many muffins does the baker have now?,twenty-nine
A train travels 14 miles in the morning and 18 miles in the evening - What is the total distance traveled?,thirty-two
If a shop sells 9 toys on Monday and 16 toys on Tuesday - how many toys were sold in total?,twenty-five
If a shop sells 16 toys on Monday and 4 toys on Tuesday - how many toys were sold in total?,twenty
A baker has 2 muffins and bakes 19 more muffins - How many muffins does the baker have now?,twenty-one
There are 1 pencils in one box and 17 pencils in another box - How many pencils are there altogether?,eighteen
A train travels 5 miles in the morning and 10 miles in the evening - What is the total distance traveled?,fifteen
A store sells 12 candies and 15 candies are left - How many candies were sold in total?,twenty-seven
There are 16 pencils in one box and 19 pencils in another box - How many pencils are there altogether?,thirty-five
A baker has 2 muffins and bakes 7 more muffins - How many muffins does the baker have now?,nine
A train travels 1 miles in the morning and 8 miles in the evening - What is the total distance traveled?,nine
A train travels 12 miles in the morning and 11 miles in the evening - What is the total distance traveled?,twenty-three
There are 13 pencils in one box and 18 pencils in another box - How many pencils are there altogether?,thirty-one
If 9 apples are added to 13 apples - how many apples are there in total?,twenty-two
There are 7 pencils in one box and 20 pencils in another box - How many pencils are there altogether?,twenty-seven
If 10 apples are added to 6 apples - how many apples are there in total?,sixteen
A train travels 11 miles in the morning and 14 miles in the evening - What is the total distance traveled?,twenty-five
A train travels 5 miles in the morning and 3 miles in the evening - What is the total distance traveled?,eight
There are 8 pencils in one box and 10 pencils in another box - How many pencils are there altogether?,eighteen
A baker has 14 muffins and bakes 18 more muffins - How many muffins does the baker have now?,thirty-two
Sam has 4 marbles and he loses 4 marbles - How many marbles does Sam have left?,eight
There are 1 pencils in one box and 19 pencils in another box - How many pencils are there altogether?,twenty
A train travels 10 miles in the morning and 9 miles in the evening - What is the total distance traveled?,nineteen
A store sells 14 candies and 6 candies are left - How many candies were sold in total?,twenty
A train travels 7 miles in the morning and 3 miles in the evening - What is the total distance traveled?,ten
A train travels 4 miles in the morning and 11 miles in the evening - What is the total distance traveled?,fifteen
Sam has 14 marbles and he loses 5 marbles - How many marbles does Sam have left?,nineteen
A store sells 19 candies and 11 candies are left - How many candies were sold in total?,thirty
If a shop sells 8 toys on Monday and 3 toys on Tuesday - how many toys were sold in total?,eleven
Sam has 2 marbles and he loses 12 marbles - How many marbles does Sam have left?,fourteen
A baker has 17 muffins and bakes 2 more muffins - How many muffins does the baker have now?,nineteen
If a shop sells 16 toys on Monday and 8 toys on Tuesday - how many toys were sold in total?,twenty-four
There are 3 pencils in one box and 10 pencils in another box - How many pencils are there altogether?,thirteen
A train travels 3 miles in the morning and 4 miles in the evening - What is the total distance traveled?,seven
A store sells 7 candies and 5 candies are left - How many candies were sold in total?,twelve
A baker has 5 muffins and bakes 2 more muffins - How many muffins does the baker have now?,seven
A train travels 4 miles in the morning and 15 miles in the evening - What is the total distance traveled?,nineteen
A store sells 6 candies and 16 candies are left - How many candies were sold in total?,twenty-two
Sam has 7 marbles and he loses 1 marbles - How many marbles does Sam have left?,eight
Sam has 17 marbles and he loses 11 marbles - How many marbles does Sam have left?,twenty-eight
A baker has 18 muffins and bakes 18 more muffins - How many muffins does the baker have now?,thirty-six
Sam has 16 marbles and he loses 6 marbles - How many marbles does Sam have left?,twenty-two
There are 16 pencils in one box and 10 pencils in another box - How many pencils are there altogether?,twenty-six
A train travels 11 miles in the morning and 7 miles in the evening - What is the total distance traveled?,eighteen
There are 17 pencils in one box and 11 pencils in another box - How many pencils are there altogether?,twenty-eight
If a shop sells 1 toys on Monday and 16 toys on Tuesday - how many toys were sold in total?,seventeen
Sam has 4 marbles and he loses 3 marbles - How many marbles does Sam have left?,seven
If a shop sells 10 toys on Monday and 20 toys on Tuesday - how many toys were sold in total?,thirty
There are 18 pencils in one box and 11 pencils in another box - How many pencils are there altogether?,twenty-nine
There are 5 pencils in one box and 8 pencils in another box - How many pencils are there altogether?,thirteen
There are 3 pencils in one box and 7 pencils in another box - How many pencils are there altogether?,ten
If a shop sells 9 toys on Monday and 19 toys on Tuesday - how many toys were sold in total?,twenty-eight
There are 16 pencils in one box and 6 pencils in another box - How many pencils are there altogether?,twenty-two
Sam has 2 marbles and he loses 12 marbles - How many marbles does Sam have left?,fourteen
If a shop sells 3 toys on Monday and 10 toys on Tuesday - how many toys were sold in total?,thirteen
A train travels 16 miles in the morning and 4 miles in the evening - What is the total distance traveled?,twenty
Sam has 19 marbles and he loses 15 marbles - How many marbles does Sam have left?,thirty-four
If 3 apples are added to 15 apples - how many apples are there in total?,eighteen
If 12 apples are added to 6 apples - how many apples are there in total?,eighteen
If a shop sells 6 toys on Monday and 3 toys on Tuesday - how many toys were sold in total?,nine
A baker has 5 muffins and bakes 19 more muffins - How many muffins does the baker have now?,twenty-four
Sam has 1 marbles and he loses 8 marbles - How many marbles does Sam have left?,nine
If 9 apples are added to 14 apples - how many apples are there in total?,twenty-three
If a shop sells 6 toys on Monday and 16 toys on Tuesday - how many toys were sold in total?,twenty-two
If a shop sells 13 toys on Monday and 14 toys on Tuesday - how many toys were sold in total?,twenty-seven
If a shop sells 13 toys on Monday and 15 toys on Tuesday - how many toys were sold in total?,twenty-eight
A train travels 6 miles in the morning and 9 miles in the evening - What is the total distance traveled?,fifteen
If 10 apples are added to 2 apples - how many apples are there in total?,twelve
A store sells 7 candies and 10 candies are left - How many candies were sold in total?,seventeen
A train travels 12 miles in the morning and 1 miles in the evening - What is the total distance traveled?,thirteen
A store sells 13 candies and 8 candies are left - How many candies were sold in total?,twenty-one
Sam has 17 marbles and he loses 19 marbles - How many marbles does Sam have left?,thirty-six
If 10 apples are added to 19 apples - how many apples are there in total?,twenty-nine
Sam has 4 marbles and he loses 7 marbles - How many marbles does Sam have left?,eleven
A train travels 3 miles in the morning and 12 miles in the evening - What is the total distance traveled?,fifteen
If 4 apples are added to 5 apples - how many apples are there in total?,nine
A train travels 5 miles in the morning and 14 miles in the evening - What is the total distance traveled?,nineteen
There are 6 pencils in one box and 14 pencils in another box - How many pencils are there altogether?,twenty
A baker has 12 muffins and bakes 18 more muffins - How many muffins does the baker have now?,thirty
If 19 apples are added to 8 apples - how many apples are there in total?,twenty-seven
A store sells 5 candies and 3 candies are left - How many candies were sold in total?,eight
There are 6 pencils in one box and 16 pencils in another box - How many pencils are there altogether?,twenty-two
A train travels 8 miles in the morning and 20 miles in the evening - What is the total distance traveled?,twenty-eight
If a shop sells 20 toys on Monday and 20 toys on Tuesday - how many toys were sold in total?,forty
If 18 apples are added to 2 apples - how many apples are there in total?,twenty
A train travels 8 miles in the morning and 16 miles in the evening - What is the total distance traveled?,twenty-four
If a shop sells 14 toys on Monday and 12 toys on Tuesday - how many toys were sold in total?,twenty-six
There are 15 pencils in one box and 3 pencils in another box - How many pencils are there altogether?,eighteen
If a shop sells 6 toys on Monday and 19 toys on Tuesday - how many toys were sold in total?,twenty-five
Sam has 13 marbles and he loses 1 marbles - How many marbles does Sam have left?,fourteen
If a shop sells 15 toys on Monday and 7 toys on Tuesday - how many toys were sold in total?,twenty-two
A train travels 18 miles in the morning and 5 miles in the evening - What is the total distance traveled?,twenty-three
A baker has 1 muffins and bakes 16 more muffins - How many muffins does the baker have now?,seventeen
If 3 apples are added to 2 apples - how many apples are there in total?,five
A train travels 3 miles in the morning and 8 miles in the evening - What is the total distance traveled?,eleven
A store sells 20 candies and 11 candies are left - How many candies were sold in total?,thirty-one
If a shop sells 4 toys on Monday and 3 toys on Tuesday - how many toys were sold in total?,seven
If a shop sells 11 toys on Monday and 2 toys on Tuesday - how many toys were sold in total?,thirteen
There are 11 pencils in one box and 12 pencils in another box - How many pencils are there altogether?,twenty-three
Sam has 11 marbles and he loses 8 marbles - How many marbles does Sam have left?,nineteen
There are 13 pencils in one box and 6 pencils in another box - How many pencils are there altogether?,nineteen
If a shop sells 15 toys on Monday and 1 toys on Tuesday - how many toys were sold in total?,sixteen
A train travels 15 miles in the morning and 6 miles in the evening - What is the total distance traveled?,twenty-one
Sam has 12 marbles and he loses 17 marbles - How many marbles does Sam have left?,twenty-nine
If a shop sells 4 toys on Monday and 15 toys on Tuesday - how many toys were sold in total?,nineteen
A baker has 8 muffins and bakes 9 more muffins - How many muffins does the baker have now?,seventeen
Sam has 3 marbles and he loses 9 marbles - How many marbles does Sam have left?,twelve
Sam has 18 marbles and he loses 10 marbles - How many marbles does Sam have left?,twenty-eight
If 3 apples are added to 18 apples - how many apples are there in total?,twenty-one
Sam has 15 marbles and he loses 17 marbles - How many marbles does Sam have left?,thirty-two
If a shop sells 15 toys on Monday and 1 toys on Tuesday - how many toys were sold in total?,sixteen
There are 18 pencils in one box and 2 pencils in another box - How many pencils are there altogether?,twenty
There are 15 pencils in one box and 18 pencils in another box - How many pencils are there altogether?,thirty-three
A store sells 3 candies and 11 candies are left - How many candies were sold in total?,fourteen
There are 6 pencils in one box and 19 pencils in another box - How many pencils are there altogether?,twenty-five
A baker has 4 muffins and bakes 12 more muffins - How many muffins does the baker have now?,sixteen
There are 10 pencils in one box and 15 pencils in another box - How many pencils are there altogether?,twenty-five
A train travels 1 miles in the morning and 13 miles in the evening - What is the total distance traveled?,fourteen
If a shop sells 6 toys on Monday and 3 toys on Tuesday - how many toys were sold in total?,nine
Sam has 13 marbles and he loses 17 marbles - How many marbles does Sam have left?,thirty
If 20 apples are added to 11 apples - how many apples are there in total?,thirty-one
A baker has 20 muffins and bakes 20 more muffins - How many muffins does the baker have now?,forty
If 2 apples are added to 11 apples - how many apples are there in total?,thirteen
A baker has 14 muffins and bakes 4 more muffins - How many muffins does the baker have now?,eighteen
A baker has 12 muffins and bakes 11 more muffins - How many muffins does the baker have now?,twenty-three
If a shop sells 16 toys on Monday and 15 toys on Tuesday - how many toys were sold in total?,thirty-one
A train travels 14 miles in the morning and 17 miles in the evening - What is the total distance traveled?,thirty-one
Sam has 16 marbles and he loses 15 marbles - How many marbles does Sam have left?,thirty-one
Sam has 8 marbles and he loses 10 marbles - How many marbles does Sam have left?,eighteen
A train travels 4 miles in the morning and 17 miles in the evening - What is the total distance traveled?,twenty-one
Sam has 1 marbles and he loses 11 marbles - How many marbles does Sam have left?,twelve
If 8 apples are added to 18 apples - how many apples are there in total?,twenty-six
Sam has 2 marbles and he loses 15 marbles - How many marbles does Sam have left?,seventeen
A train travels 10 miles in the morning and 6 miles in the evening - What is the total distance traveled?,sixteen
A store sells 9 candies and 14 candies are left - How many candies were sold in total?,twenty-three
If 16 apples are added to 3 apples - how many apples are there in total?,nineteen
If 6 apples are added to 8 apples - how many apples are there in total?,fourteen
There are 4 pencils in one box and 14 pencils in another box - How many pencils are there altogether?,eighteen
There are 3 pencils in one box and 6 pencils in another box - How many pencils are there altogether?,nine
There are 16 pencils in one box and 18 pencils in another box - How many pencils are there altogether?,thirty-four
If a shop sells 8 toys on Monday and 17 toys on Tuesday - how many toys were sold in total?,twenty-five
A store sells 18 candies and 13 candies are left - How many candies were sold in total?,thirty-one
There are 17 pencils in one box and 3 pencils in another box - How many pencils are there altogether?,twenty
There are 9 pencils in one box and 3 pencils in another box - How many pencils are there altogether?,twelve
Sam has 11 marbles and he loses 17 marbles - How many marbles does Sam have left?,twenty-eight
A store sells 6 candies and 10 candies are left - How many candies were sold in total?,sixteen
A store sells 3 candies and 16 candies are left - How many candies were sold in total?,nineteen
A store sells 15 candies and 15 candies are left - How many candies were sold in total?,thirty
If 2 apples are added to 9 apples - how many apples are there in total?,eleven
A baker has 18 muffins and bakes 8 more muffins - How many muffins does the baker have now?,twenty-six
A baker has 18 muffins and bakes 14 more muffins - How many muffins does the baker have now?,thirty-two
If 11 apples are added to 19 apples - how many apples are there in total?,thirty
If 9 apples are added to 4 apples - how many apples are there in total?,thirteen
A store sells 8 candies and 9 candies are left - How many candies were sold in total?,seventeen
A baker has 12 muffins and bakes 19 more muffins - How many muffins does the baker have now?,thirty-one
A store sells 19 candies and 16 candies are left - How many candies were sold in total?,thirty-five
A store sells 7 candies and 18 candies are left - How many candies were sold in total?,twenty-five
Sam has 9 marbles and he loses 18 marbles - How many marbles does Sam have left?,twenty-seven
There are 17 pencils in one box and 8 pencils in another box - How many pencils are there altogether?,twenty-five
A train travels 19 miles in the morning and 20 miles in the evening - What is the total distance traveled?,thirty-nine
If a shop sells 20 toys on Monday and 9 toys on Tuesday - how many toys were sold in total?,twenty-nine
A baker has 4 muffins and bakes 10 more muffins - How many muffins does the baker have now?,fourteen
Sam has 3 marbles and he loses 10 marbles - How many marbles does Sam have left?,thirteen
If 11 apples are added to 14 apples - how many apples are there in total?,twenty-five
There are 8 pencils in one box and 9 pencils in another box - How many pencils are there altogether?,seventeen
If 18 apples are added to 11 apples - how many apples are there in total?,twenty-nine
If a shop sells 16 toys on Monday and 19 toys on Tuesday - how many toys were sold in total?,thirty-five
A baker has 8 muffins and bakes 3 more muffins - How many muffins does the baker have now?,eleven
If a shop sells 12 toys on Monday and 1 toys on Tuesday - how many toys were sold in total?,thirteen
There are 2 pencils in one box and 5 pencils in another box - How many pencils are there altogether?,seven
Sam has 12 marbles and he loses 17 marbles - How many marbles does Sam have left?,twenty-nine
If a shop sells 9 toys on Monday and 5 toys on Tuesday - how many toys were sold in total?,fourteen
There are 9 pencils in one box and 2 pencils in another box - How many pencils are there altogether?,eleven
